Topic/Chapter Name,Video Description,Video URL
Differential Equations,Part 12,https://www.youtube.com/watch?v=Zg3K1YEaSlY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=60
Differential Equations,Part 13,https://www.youtube.com/watch?v=WGoxdxR8n2w&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=63
Differential Equations,Part 14,https://www.youtube.com/watch?v=NjrIJu1qAf0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=64
Differential Equations,Linear Differential Equations Part 15,https://www.youtube.com/watch?v=kihDxHzxAPA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=65
Differential Equations,Part 16,https://www.youtube.com/watch?v=7PgFtXQf0Dg&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=61
Differential Equations,Part 17,https://www.youtube.com/watch?v=73ztkYhm2Ys&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=62
Ellipse,Part 1,https://www.youtube.com/watch?v=2BF3ZPyMd0Q&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=66
Ellipse,Part 2,https://www.youtube.com/watch?v=dwftoCcOrJI&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=67
Ellipse,Part 3,https://www.youtube.com/watch?v=FNAIV4NFO7U&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=68
Ellipse,Part 4,https://www.youtube.com/watch?v=ChJgYgeenOM&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=69
Ellipse,Part 5,https://www.youtube.com/watch?v=Lj3hBPIZIc4&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=70
Ellipse,Part 6,https://www.youtube.com/watch?v=4Wr8g7fDD-0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=71
Ellipse,Part 7,https://www.youtube.com/watch?v=sU0sIfe50_0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=72
